,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Benfica,34,25,7,2,72,18,82,18
1,2,FC Porto,34,22,10,2,71,19,76,18
2,3,Sporting,34,21,7,6,68,36,70,18
3,4,Vitória SC,34,18,8,8,50,39,62,18
4,5,SC Braga,34,15,9,10,51,36,54,18
5,6,Marítimo,34,13,11,10,34,32,50,18
6,7,Rio Ave,34,14,7,13,41,39,49,18
7,8,Feirense,34,14,6,14,31,45,48,18
8,9,Boavista,34,10,13,11,33,36,43,18
9,10,Estoril Praia,34,10,8,16,36,42,38,18
10,11,GD Chaves,34,8,14,12,35,42,38,18
11,12,Vitória FC,34,10,8,16,30,39,38,18
12,13,Paços de Ferreira,34,8,12,14,32,45,36,18
13,14,Belenenses,34,9,9,16,27,45,36,18
14,15,Moreirense,34,8,9,17,33,48,33,18
15,16,CD Tondela,34,8,8,18,29,52,32,18
16,17,FC Arouca,34,9,5,20,33,57,32,18
17,18,Nacional,34,4,9,21,22,58,21,18
