,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Porto,34,27,5,2,73,26,86,18
1,2,Benfica,34,23,6,5,74,27,75,18
2,3,Sporting,34,17,8,9,52,38,59,18
3,4,Vitória SC,34,14,8,12,47,46,50,18
4,5,UD Leiria,34,13,10,11,49,47,49,18
5,6,Paços de Ferreira,34,12,9,13,40,47,45,18
6,7,Marítimo,34,13,5,16,36,48,44,18
7,8,Gil Vicente ,34,13,5,16,42,53,44,18
8,9,Belenenses ,34,11,10,13,47,48,43,18
9,10,Boavista ,34,10,13,11,32,31,43,18
10,11,Nacional ,34,9,13,12,40,46,40,18
11,12,Moreirense ,34,9,12,13,42,46,39,18
12,13,Beira-Mar ,34,10,9,15,43,50,39,18
13,14,SC Braga,34,8,14,12,34,47,38,18
14,15,Académica OAF,34,8,13,13,38,48,37,18
15,16,Varzim ,34,10,6,18,38,51,36,18
16,17,Santa Clara ,34,8,11,15,39,54,35,18
17,18,Vitória FC,34,6,13,15,40,53,31,18
