,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Porto,30,24,3,3,60,13,75,16
1,2,Sporting,30,16,7,7,46,28,55,16
2,3,Vitória SC,30,15,8,7,35,31,53,16
3,4,Benfica,30,13,13,4,45,21,52,16
4,5,Marítimo,30,14,4,12,39,28,46,16
5,6,Vitória FC,30,11,12,7,37,33,45,16
6,7,SC Braga,30,10,11,9,32,34,41,16
7,8,Belenenses,30,11,10,9,35,33,40,16
8,9,Nacional,30,9,8,13,23,28,35,16
9,10,Boavista,30,8,12,10,32,41,35,16
10,11,Naval,30,9,7,14,26,45,34,16
11,12,Académica OAF,30,6,14,10,31,38,32,16
12,13,Est. Amadora,30,6,13,11,29,41,31,16
13,14,Leixões,30,4,14,12,27,37,26,16
14,15,Paços de Ferreira,30,6,7,17,31,49,25,16
15,16,UD Leiria,30,3,7,20,25,53,13,16
