,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Porto,34,28,4,2,82,18,88,18
1,2,Benfica,34,25,6,3,80,22,81,18
2,3,Sporting,34,24,6,4,63,24,78,18
3,4,SC Braga,34,24,3,7,74,29,75,18
4,5,Rio Ave,34,15,6,13,40,42,51,18
5,6,GD Chaves,34,13,8,13,47,55,47,18
6,7,Marítimo,34,13,8,13,36,49,47,18
7,8,Boavista,34,13,6,15,35,44,45,18
8,9,Vitória SC,34,13,4,17,45,56,43,18
9,10,Portimonense,34,10,8,16,52,60,38,18
10,11,CD Tondela,34,10,8,16,41,50,38,18
11,12,Belenenses,34,9,10,15,33,46,37,18
12,13,CD Aves,34,9,7,18,36,51,34,18
13,14,Vitória FC,34,7,11,16,39,62,32,18
14,15,Moreirense,34,8,8,18,29,50,32,18
15,16,Feirense,34,9,4,21,32,48,31,18
16,17,Paços de Ferreira,34,7,9,18,33,59,30,18
17,18,Estoril Praia,34,8,6,20,29,61,30,18
