,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Como,38,22,8,8,53,35,74,20
1,2,Modena,38,20,12,6,58,23,72,20
2,3,Reggina,38,19,11,8,50,33,68,20
3,4,Empoli,38,19,10,9,60,35,67,20
4,5,Napoli,38,16,13,9,48,39,61,20
5,6,Salernitana,38,14,11,13,57,59,53,20
6,7,AS Bari,38,14,11,13,44,51,53,20
7,8,Ancona,38,14,8,16,43,52,50,20
8,9,Vicenza Calcio,38,12,13,13,50,52,49,20
9,10,Sampdoria,38,12,12,14,42,46,48,20
10,11,Palermo,38,12,12,14,47,54,48,20
11,12,Genoa,38,10,17,11,43,40,47,20
12,13,Cagliari,38,10,17,11,39,39,47,20
13,14,F.C. Messina Peloro,38,11,14,13,41,42,47,20
14,15,AC Siena,38,12,11,15,35,44,47,20
15,16,Cosenza Calcio,38,13,8,17,47,57,47,20
16,17,Ternana,38,9,18,11,46,49,45,20
17,18,Cittadella,38,9,10,19,49,63,37,20
18,19,US Pistoiese,38,8,12,18,38,51,36,20
19,20,Crotone,38,5,10,23,44,70,25,20
