,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester City,38,28,5,5,93,29,89,20
1,2,Manchester United,38,28,5,5,89,33,89,20
2,3,Arsenal,38,21,7,10,74,49,70,20
3,4,Tottenham,38,20,9,9,66,41,69,20
4,5,Newcastle,38,19,8,11,56,51,65,20
5,6,Chelsea,38,18,10,10,65,46,64,20
6,7,Everton,38,15,11,12,50,40,56,20
7,8,Liverpool,38,14,10,14,47,40,52,20
8,9,Fulham,38,14,10,14,48,51,52,20
9,10,West Bromwich,38,13,8,17,45,52,47,20
10,11,Swansea City,38,12,11,15,44,51,47,20
11,12,Norwich City,38,12,11,15,52,66,47,20
12,13,Sunderland,38,11,12,15,45,46,45,20
13,14,Stoke City,38,11,12,15,36,53,45,20
14,15,Wigan Athletic,38,11,10,17,42,62,43,20
15,16,Aston Villa,38,7,17,14,37,53,38,20
16,17,QPR,38,10,7,21,43,66,37,20
17,18,Bolton,38,10,6,22,46,77,36,20
18,19,Blackburn Rovers,38,8,7,23,48,78,31,20
19,20,Wolverhampton,38,5,10,23,40,82,25,20
