,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester United,38,28,7,3,97,45,91,20
1,2,Arsenal,38,22,7,9,73,43,73,20
2,3,Leeds United,38,21,6,11,58,43,69,20
3,4,Liverpool,38,19,10,9,51,30,67,20
4,5,Chelsea,38,18,11,9,53,34,65,20
5,6,Aston Villa,38,15,13,10,46,35,58,20
6,7,Sunderland,38,16,10,12,57,56,58,20
7,8,Leicester City,38,16,7,15,55,55,55,20
8,9,West Ham,38,15,10,13,52,53,55,20
9,10,Tottenham,38,15,8,15,57,49,53,20
10,11,Newcastle,38,14,10,14,63,54,52,20
11,12,Middlesbrough,38,14,10,14,46,52,52,20
12,13,Everton,38,12,14,12,59,49,50,20
13,14,Coventry City,38,12,8,18,47,54,44,20
14,15,Southampton,38,12,8,18,45,62,44,20
15,16,Derby County,38,9,11,18,44,57,38,20
16,17,Bradford City,38,9,9,20,38,68,36,20
17,18,Wimbledon,38,7,12,19,46,74,33,20
18,19,Sheffield Wed.,38,8,7,23,38,70,31,20
19,20,Watford,38,6,6,26,35,77,24,20
