,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Leicester City,38,23,12,3,68,36,81,20
1,2,Arsenal,38,20,11,7,65,36,71,20
2,3,Tottenham,38,19,13,6,69,35,70,20
3,4,Manchester City,38,19,9,10,71,41,66,20
4,5,Manchester United,38,19,9,10,49,35,66,20
5,6,Southampton,38,18,9,11,59,41,63,20
6,7,West Ham,38,16,14,8,65,51,62,20
7,8,Liverpool,38,16,12,10,63,50,60,20
8,9,Stoke City,38,14,9,15,41,55,51,20
9,10,Chelsea,38,12,14,12,59,53,50,20
10,11,Everton,38,11,14,13,59,55,47,20
11,12,Swansea City,38,12,11,15,42,52,47,20
12,13,Watford,38,12,9,17,40,50,45,20
13,14,West Bromwich,38,10,13,15,34,48,43,20
14,15,Crystal Palace,38,11,9,18,39,51,42,20
15,16,AFC Bournemouth,38,11,9,18,45,67,42,20
16,17,Sunderland,38,9,12,17,48,62,39,20
17,18,Newcastle,38,9,10,19,44,65,37,20
18,19,Norwich City,38,9,7,22,39,67,34,20
19,20,Aston Villa,38,3,8,27,27,76,17,20
