,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Manchester United,38,28,5,5,86,43,89,20
1,2,Manchester City,38,23,9,6,66,34,78,20
2,3,Chelsea,38,22,9,7,75,39,75,20
3,4,Arsenal,38,21,10,7,72,37,73,20
4,5,Tottenham,38,21,9,8,66,46,72,20
5,6,Everton,38,16,15,7,55,40,63,20
6,7,Liverpool,38,16,13,9,71,43,61,20
7,8,West Bromwich,38,14,7,17,53,57,49,20
8,9,Swansea City,38,11,13,14,47,51,46,20
9,10,West Ham,38,12,10,16,45,53,46,20
10,11,Norwich City,38,10,14,14,41,58,44,20
11,12,Fulham,38,11,10,17,50,60,43,20
12,13,Stoke City,38,9,15,14,34,45,42,20
13,14,Southampton,38,9,14,15,49,60,41,20
14,15,Aston Villa,38,10,11,17,47,69,41,20
15,16,Newcastle,38,11,8,19,45,68,41,20
16,17,Sunderland,38,9,12,17,41,54,39,20
17,18,Wigan Athletic,38,9,9,20,47,73,36,20
18,19,Reading,38,6,10,22,43,73,28,20
19,20,QPR,38,4,13,21,30,60,25,20
