,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Blackpool,46,28,8,10,73,35,92,30
1,2,Leyton Orient,46,25,14,7,79,42,89,30
2,3,Hull City,46,23,13,10,95,58,82,30
3,4,Leyton Orient,46,21,14,11,71,54,77,30
4,5,Blackpool,46,20,15,11,59,51,75,30
5,6,Hartlepool United,46,19,17,10,47,39,74,30
6,7,Brighton & Hove Albion,46,22,6,18,72,56,72,30
7,8,Chesterfield,46,18,17,11,59,48,71,30
8,9,Cardiff City,46,18,14,14,57,50,68,30
9,10,Hartlepool United,46,18,11,17,62,52,65,30
10,11,Leyton Orient,46,15,18,13,55,53,63,30
11,12,Hull City,46,15,13,18,54,61,58,30
12,13,Blackpool,46,15,13,18,64,72,58,30
13,14,Rochdale,46,14,14,18,51,62,56,30
14,15,Cheltenham Town,46,15,10,21,49,65,55,30
15,16,Scunthorpe United,46,13,14,19,47,61,53,30
16,17,Southend United,46,13,13,20,42,63,52,30
17,18,Plymouth Argyle,46,12,15,19,58,66,51,30
18,19,Mansfield Town,46,12,14,20,40,58,50,30
19,20,Macclesfield Town,46,12,13,21,44,56,49,30
20,21,Shrewsbury Town,46,12,13,21,52,77,49,30
21,22,Kidderminster,46,11,15,20,42,65,48,30
22,23,York City,46,12,11,23,54,68,47,30
23,24,Lincoln City,46,12,9,25,67,81,45,30
24,25,Exeter City,,,,,,,,30
25,26,Darlington,,,,,,,,30
26,27,Torquay United,,,,,,,,30
27,28,Carlisle United,,,,,,,,30
28,29,Halifax Town,,,,,,,,30
29,30,Barnet,,,,,,,,30
