,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Huddersfield Town,46,27,11,8,79,37,92,30
1,2,Mansfield Town,46,25,13,8,82,44,88,30
2,3,Lincoln City,46,23,12,11,68,44,81,30
3,4,Huddersfield Town,46,23,12,11,68,52,81,30
4,5,Northampton Town,46,22,9,15,76,62,75,30
5,6,Mansfield Town,46,22,9,15,58,51,75,30
6,7,Doncaster Rovers,46,19,17,10,68,47,74,30
7,8,Hull City,46,23,5,18,70,57,74,30
8,9,Torquay United,46,18,17,11,55,44,71,30
9,10,Huddersfield Town,46,15,14,17,58,61,59,30
10,11,Mansfield Town,46,16,11,19,50,54,59,30
11,12,Northampton Town,46,15,11,20,54,64,56,30
12,13,Lincoln City,46,14,14,18,55,67,56,30
13,14,Yeovil Town,46,14,14,18,57,71,56,30
14,15,Oxford United,46,14,13,19,50,61,55,30
15,16,Swansea City,46,14,13,19,45,59,55,30
16,17,Boston United,46,14,12,20,51,63,54,30
17,18,Bury,46,14,11,21,53,61,53,30
18,19,Cambridge United,46,13,14,19,48,65,53,30
19,20,Cheltenham Town,46,13,13,20,54,69,52,30
20,21,Bristol Rovers,46,12,14,20,49,58,50,30
21,22,Kidderminster,46,11,16,19,69,72,49,30
22,23,Southend United,46,12,9,25,46,69,45,30
23,24,Darlington,46,10,14,22,35,66,44,30
24,25,Leyton Orient,,,,,,,,30
25,26,Macclesfield Town,,,,,,,,30
26,27,Rochdale,,,,,,,,30
27,28,Scunthorpe United,,,,,,,,30
28,29,Carlisle United,,,,,,,,30
29,30,York City,,,,,,,,30
