,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,AFC Bournemouth,46,24,15,7,73,47,87,30
1,2,Lincoln City,46,24,13,9,71,51,85,30
2,3,Lincoln City,46,23,15,8,84,50,84,30
3,4,Scunthorpe United,46,20,14,12,60,48,74,30
4,5,Bury,46,19,15,12,68,49,72,30
5,6,AFC Bournemouth,46,18,16,12,46,37,70,30
6,7,Rushden,46,18,16,12,57,56,70,30
7,8,Hartlepool United,46,19,12,15,57,47,69,30
8,9,Wrexham,46,16,18,12,71,71,66,30
9,10,AFC Bournemouth,46,17,15,14,52,53,66,30
10,11,Scunthorpe United,46,16,15,15,62,63,63,30
11,12,Lincoln City,46,16,13,17,67,70,61,30
12,13,Bury,46,14,17,15,58,53,59,30
13,14,Oxford United,46,15,13,18,55,56,58,30
14,15,Torquay United,46,12,18,16,58,59,54,30
15,16,York City,46,14,12,20,57,63,54,30
16,17,Kidderminster,46,17,3,26,47,59,54,30
17,18,Cambridge United,46,14,11,21,51,61,53,30
18,19,Hull City,46,12,16,18,63,70,52,30
19,20,Boston United,46,12,15,19,50,57,51,30
20,21,Darlington,46,12,13,21,48,65,49,30
21,22,Macclesfield Town,46,13,10,23,52,78,49,30
22,23,Southend United,46,11,15,20,50,64,48,30
23,24,Leyton Orient,46,9,14,23,62,92,41,30
24,25,Rochdale,,,,,,,,30
25,26,Bristol Rovers,,,,,,,,30
26,27,Swansea City,,,,,,,,30
27,28,Carlisle United,,,,,,,,30
28,29,Exeter City,,,,,,,,30
29,30,Shrewsbury Town,,,,,,,,30
